"เดือน","ปริมาณ","มูลค่า","ปริมาณ","มูลค่า"
"มกราคม","","","217.44","14.39"
"กุมภาพันธ์","","","56.42","1.75"
"มีนาคม","","","22.65","2.59"
"เมษายน","","","3,801.97","360.12"
"พฤษภาคม","","","102,347.93","7,258.82"
"มิถุนายน","18.00","1.04","90,177.02","5,280.15"
"กรกฎาคม","","","8,095.71","467.85"
"สิงหาคม","","","119.07","13.96"
"กันยายน","","","34.49","9.00"
"ตุลาคม","","","29.55","4.47"
"พฤศจิกายน","","","577.40","84.14"
"ธันวาคม","","","538.69","58.35"
"รวม","18.00","1.04","206,018.35","13,555.59"
